id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,google_product_category,brand,product_type,shipping_weight,unit_pricing_measure,unit_pricing_base_measure,manufacturer,online_only,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,checkout_link_template
56ca796f7562752ed51d0c00,Flying Dog Raging Bitch 12oz,"The American IPA hoppiness or Belgian funk of Raging Bitch can be brought out with food. Flavor notes: Sweet malt body contrasted with pine and grapefruit hop flavors and exotic fruit yeast notes. Pairs with: Wasabi, ginger, jerk, Cajun, or cayenne; tangy cheese with fruit; dark chocolate",https://capitalbeerwine.com/shop/product/flying-dog-raging-bitch/56ca796f7562752ed51d0c00?option-id=f1376dcf6fb8257fcd2e14221008e9f021cd7c85ced5f7c868fa62f93f7bb245&utm_source=googleshopping&utm_medium=feed,new,16.79 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/6671a081ddb2f2604f9a0a6d/large.png?format=square,00786243119906,2149,499676,Flying Dog,beer > ipa,3.5 lbs,354ml,750ml,Flying Dog,n,,domestic craft beer,,,,https://capitalbeerwine.com/cart?product-option-id=f1376dcf6fb8257fcd2e14221008e9f021cd7c85ced5f7c868fa62f93f7bb245
61e895776aaeeb5786479514,Nutrl Assorted Vodka Variety Pack 12oz,"NUTRL Real Fruit Juice Vodka Seltzer is an easy-to-drink hard seltzer that combines vodka with a deliciously fruity twist. This spiked seltzer variety pack includes flavored hard seltzers of watermelon seltzer, orange seltzer, black cherry seltzer and pineapple seltzer. These alcoholic beverages are made with refreshingly simple, tasty and uncomplicated ingredients like vodka, seltzer water, and real fruit juice. It's that simple and it's even more refreshing. NUTRL Vodka Seltzer fruit drinks are gluten free with natural flavors, no added sugar, and 100 calories. These gluten free alcohol drinks have a 4.5% ABV and can be enjoyed cold or over ice right out of the can. No matter how you prefer it, these sugar free drinks are down right delicious, and the slim cans of NUTRL seltzer are easy to hold, store and transport wherever the party goes whether you need crisp alcohol beverages or simple zero sugar drinks that can be enjoyed year-round, no matter the season. Real Vodka. Real Juice. Enjoy NUTRL Responsibly. 8 pack of 12 fl oz slim cans of NUTRL Real Fruit Juice Vodka Hard Seltzer Includes watermelon vodka seltzer, orange vodka seltzer, black cherry vodka seltzer and pineapple vodka flavored seltzer Flavored vodka seltzers that are crisp, refreshing, and made with simple, uncomplicated ingredients like vodka, sparkling water and real fruit juice Gluten free alcoholic drinks contain natural flavors, no added sugar, and 100 calories Zero sugar alcohol drink that is 4.5% ABV, and can be enjoyed however you like whether it's cold or over ice right out of the can Slim canned seltzer that is easy to hold, store and transport wherever the party goes Enjoy Responsibly",https://capitalbeerwine.com/shop/product/nutrl-assorted-vodka-variety-pack/61e895776aaeeb5786479514?option-id=14d8c204767faf621c89f89a847fdcc49f67f72aa0c41182417cebd966cdcd0f&utm_source=googleshopping&utm_medium=feed,new,22.04 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/67a3b902138c5c6e500c7f01/large.png?format=square,00018200203527,2167,499676,Nutrl,spirits > seltzer,3.5 lbs,354ml,750ml,Nutrl,n,,domestic craft beer,,,,https://capitalbeerwine.com/cart?product-option-id=14d8c204767faf621c89f89a847fdcc49f67f72aa0c41182417cebd966cdcd0f
5a3d7e0a0abe0a4aeb915e7a,Sierra Nevada Hazy Little Thing 12oz,"Juicy hops and silky malt meet in a Hazy Little Thing with fruit-forward flavor, modest bitterness, and a smooth finish. Aggressively dry-hopped and less filtered because the haze is where the flavor is. Making our delicious haze starts before we even fire up the kettle. Oats and wheatboth malted and unmalted varietiesare critical to the recipe, down to their exact makeup of proteins, beta-glucans, diastatic power, and other beer-nerdy specs. Once were brewing, this precise grain foundation interacts with the polyphenols (think pre-haze molecules) in colossal volumes of lupulin hop dust, which is basically the pure flavor from inside hop cones, to generate a smooth and juicy haze. We chill our fermenters at slightly higher temperatures than normal so the haze doesnt fade, then we skip the filter to package all the hazy flavor in its primestraight from the tanks and into the can.",https://capitalbeerwine.com/shop/product/sierra-nevada-hazy-little-thing/5a3d7e0a0abe0a4aeb915e7a?option-id=65cef5df8dd03d52c0c9c7df0ff3b2c4c35989dfcb7c66f41103cc5259850dcc&utm_source=googleshopping&utm_medium=feed,new,15.74 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/666888f81eb36322113f4289/large.png?format=square,00083783110104,1622,499676,Sierra Nevada,beer > ipa,3.5 lbs,354ml,750ml,Sierra Nevada,n,,domestic craft beer,,,,https://capitalbeerwine.com/cart?product-option-id=65cef5df8dd03d52c0c9c7df0ff3b2c4c35989dfcb7c66f41103cc5259850dcc
56df4e0269702d6e403d0100,Mionetto Superiore Prosecco DOCG 750ml,"Mionetto Superiore Prosecco DOCG stands as a prestigious and elegant representation of the excellence found in Italy's Valdobbiadene region. A bright straw-yellow spumante, with light green hues. It is fresh, balanced and elegant, with scents recalling ripe stone fruit, honey, and acacia blossoms. Find notes of golden delicious apples and pear, on the palate, with a slight hint of bitter almond on the finish. A very versatile wine for pairing, due to the perfect balance of acidity, and sapidity.The fine bubbles and lively effervescence create a creamy and luxurious texture, while the long, refined finish leaves a lasting impression. Mionetto Luxury is a wine of distinction and grandeur, featured in Wine Spectator's 2023 Top 100 Wines. It's perfect for celebrating special moments or indulging in moments of luxury.",https://capitalbeerwine.com/shop/product/mionetto-superiore-prosecco-docg/56df4e0269702d6e403d0100?option-id=a2764fe1ed487f31c5d1f40722f20e81145d0fc1e535dcce182a25920c366a61&utm_source=googleshopping&utm_medium=feed,new,26.24 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/6758ba8107512279faf86244/large.png?format=square,00816253010624,1262,499676,Mionetto,wine > sparkling,3.5 lbs,750ml,750ml,Mionetto,n,,champagne and sparkling,,,,https://capitalbeerwine.com/cart?product-option-id=a2764fe1ed487f31c5d1f40722f20e81145d0fc1e535dcce182a25920c366a61
56f4737869702d7cba6d1900,BioKult Gruner Veltliner 750ml,"Gruner Veltliner is the queen of the white varieties in Austria. Its main characteristics are the fruity-spicy nose, also called Pfefferl referring to pepper. Fresh crisp citrus, lively acidity, just cushioned by a creamy, ripe texture. The flavors are vivid, clean, light and ready to drink now. Pale silvery straw color. Soft and inviting aromas of citrus custard, minerals, and prairie grass follow through on a supple, silky entry to a dryish light body with touch of white pepper and a dry, soft, lingering lime rind and talc fade. A very nice and refreshing aperitif, or serve with scallops",https://capitalbeerwine.com/shop/product/biokult-gruner-veltliner/56f4737869702d7cba6d1900?option-id=da5b4dad142e2ac519b9676f36b1f7a2ad663490633295453790baf34a157681&utm_source=googleshopping&utm_medium=feed,new,24.14 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/57342cdd69702d3049870100/large.png?format=square,00185554000628,161,499676,BioKult Gruner,wine > white,3.5 lbs,750ml,750ml,BioKult Gruner,n,Gruner Veltliner,white,,,,https://capitalbeerwine.com/cart?product-option-id=da5b4dad142e2ac519b9676f36b1f7a2ad663490633295453790baf34a157681
565a69bc69702d674a0a0000,Hakutsuru Junmai Ginjo Superior Sake 720ml,"This flowery fragrant Sake with silky, well-balanced smoothness can be enjoyed chilled or at room temperature.",https://capitalbeerwine.com/shop/product/hakutsuru-junmai-ginjo-superior-sake/565a69bc69702d674a0a0000?option-id=287ee5328dfac0d4c74fa661e434ded55042b4eb1456b4638251eaf1962acaab&utm_source=googleshopping&utm_medium=feed,new,28.34 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/565a69bc69702d674a0b0000/large.png?format=square,00747846010014,849,499676,Hakutsuru Junmai,spirits > sake,3.5 lbs,720ml,750ml,Hakutsuru Junmai,n,,sake,,,,https://capitalbeerwine.com/cart?product-option-id=287ee5328dfac0d4c74fa661e434ded55042b4eb1456b4638251eaf1962acaab
583cace936d5f3744e707fc0,Twisted Tea Original 24oz,"Our fans love unwinding with Twisted Tea Original Iced Tea made with real brewed tea. They also love race tracks, country music, and tailgates. Made from select tea and natural lemon flavor, Twisted Tea Original is refreshing, smooth, delicious, and of course, a little twisted.",https://capitalbeerwine.com/shop/product/twisted-tea-original/583cace936d5f3744e707fc0?option-id=0855b23889d039fd75456b562adbdbf8015bfd6a67fe6c9671f1493fc8dfbc20&utm_source=googleshopping&utm_medium=feed,new,4.19 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/639a0ca036c8bc293fc9a6ac/large.png?format=square,00087692832317,1852,499676,Twisted Tea,beer > flavored malt beverage,3.5 lbs,709ml,750ml,Twisted Tea,n,,beer,flavored,,,https://capitalbeerwine.com/cart?product-option-id=0855b23889d039fd75456b562adbdbf8015bfd6a67fe6c9671f1493fc8dfbc20
56704467756275441d240100,Leffe Blonde 11.2oz,"Gold Medal winner in the 2012 World Beer Cup for Belgian-Style Blonde Ale, Leffe Blonde Belgian Abbey Ale pays tribute to a centuries-old tradition. Dating back to 1240, Leffe is rich in every meaning of the word: flavor, color, taste, ritual and history. A good glass of Leffe combined with an exquisite bite will guarantee the perfect aperitif moment.",https://capitalbeerwine.com/shop/product/leffe-blonde/56704467756275441d240100?option-id=edaffaa03746f5175d84a29b9374c06003d7cd45a939f1919587c133f27baba1&utm_source=googleshopping&utm_medium=feed,new,13.64 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/66736c37c5971319d39090e1/large.png?format=square,00786150000304,1090,499676,Leffe Blonde,beer > imported beer,3.5 lbs,750ml,750ml,Leffe Blonde,n,,european big brewer,,,,https://capitalbeerwine.com/cart?product-option-id=edaffaa03746f5175d84a29b9374c06003d7cd45a939f1919587c133f27baba1
567033317562755050a00200,Guinness Draught 11oz,"This is the stout that made Guinness famous. Sought after by beer aficionados for its mix of hop bitterness, dark malty flavor, crisp roasty notes and bittersweet finish, Extra Stout is perhaps the definitive version of an Irish dry stout. Guinness Extra Stout is carbonated (as opposed to nitrogenated), giving it more hop bite and a crisper mouthfeel. It pours a dark ruby color with a robust, foamy tan head. A generous percentage of roasted barley in the brew gives this beer its signature clean, dry finish.",https://capitalbeerwine.com/shop/product/guinness-draught/567033317562755050a00200?option-id=19fc23ee8d2cf5a62b78915276daed0b7e66f7d13928f664bed47e24d454194f&utm_source=googleshopping&utm_medium=feed,new,15.74 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/6671ee242b2ce049d2ec6cb0/large.png?format=square,00083820104011,837,499676,Guinness,beer > stout,3.5 lbs,325ml,750ml,Guinness,n,,european big brewer,,,,https://capitalbeerwine.com/cart?product-option-id=19fc23ee8d2cf5a62b78915276daed0b7e66f7d13928f664bed47e24d454194f
5e74cecf2cbc0c255e56abe9,Denizens Animal Hazy IPA Cans 12oz,"Our DDH IPA is light and hazy in appearance, highly aromatic, and packed full of juicy hop flavor. It strikes a balance between the notes of tropical flesh fruit, citrus rind, and pine sap showcased in American grown hops. A top seller in our taprooms, this Animal is sure to drive you wild. Animal received a 90 rating by Beer Connoisseur.",https://capitalbeerwine.com/shop/product/denizens-animal-hazy-ipa-cans/5e74cecf2cbc0c255e56abe9?option-id=fbabdf110d4179bf1b0343eec87c8ac2dc6e3effba39cad2b14dcc29b8e93eaa&utm_source=googleshopping&utm_medium=feed,new,16.79 USD,,in_stock,https://cityhive-prod-cdn.cityhive.net/products/5f316368bbb57b75c7f77ee5/large.png?format=square,00857733006140,2221,499676,Denizens Animal,beer > ipa,3.5 lbs,354ml,750ml,Denizens Animal,n,,rotating,,,,https://capitalbeerwine.com/cart?product-option-id=fbabdf110d4179bf1b0343eec87c8ac2dc6e3effba39cad2b14dcc29b8e93eaa
