"id"	"title"	"description"	"link"	"condition"	"price"	"sale_price"	"availability"	"image link"	"gtin"	"mpn"	"google product category"	"brand"	"product_type"	"shipping_weight"	"unit_pricing_measure"	"unit_pricing_base_measure"	"manufacturer"	"online_only"	"custom_label_0"	"custom_label_1"	"custom_label_2"	"custom_label_3"	"custom_label_4"	"checkout_link_template"
"601b6049ae1a6411993043f7"	"Menage a Trois Sweet Collection Dolce Sweet Red Blend 750ml"	"Style: Sweet Red Wine (Chill Me!) Producer: Menage a Trois Grapes: Zinfandel, Syrah and Moscato Where: California Country: USA Taste: fresh, ripe, jamlike fruit that is the calling card of California wine. Brimming with decadent blackberry and raspberry flavors, accented by warm notes of cherry vanilla. Forward, silky and soft, this delicious dalliance shows what emerges when you put three attractive, single, young grapes into one exquisite bottle. . Menage a Trois Red brings together three varietals: Zinfandel, Merlot and Cabernet Sauvignon. To add complexity and retain character, each variety was fermented separately, then blended prior to bottling. Zinfandel is a saucy tease that brings blackberry and raspberry jam to the mix. Merlot, with its generous mouthfeel and red fruits, fits perfectly in the middle. The rich flavors and firm tannins of Cabernet Sauvignon make it the ideal candidate for the final layer of the trio."	"https://ridgewineandspirits.com/shop/product/menage-a-trois-sweet-collection-dolce-sweet-red-blend/601b6049ae1a6411993043f7?option-id=ffe5d52314b30c1c32911052656ff749696e39053f409a4be369778f5f37ff5c&utm_source=googleshopping&utm_medium=feed"	"new"	"11.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/60285c6819a17c269b60970c/large.png?format=square"	"00099988071911"	"13420"	"499676"	"Menage A Trois"	"wine > red"	"3.5 lbs"	"750ml"	"750ml"	"Menage A Trois"	"n"	"Red Blend"	"wine-domestic"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=ffe5d52314b30c1c32911052656ff749696e39053f409a4be369778f5f37ff5c"
"56caa97c7562752ed5791500"	"Crown Royal Apple Canadian Whisky 750ml"	"Unwind in luxury with a glass of Crown Royal Regal Apple Flavored Whisky. Infused with regal gala apples and hints of caramel and spice, our 70 proof whisky provides a refined, crisp taste. Made with the signature smoothness of traditional Crown Royal and matured to perfection, our apple flavored whisky will enhance any cocktail party or celebration. Simply mix with cranberry juice and pour over ice for a refreshing tasting Crownberry Apple cocktail. Includes one 70 proof 750 mL bottle of Regal Apple Flavored Whisky. Please drink responsibly."	"https://ridgewineandspirits.com/shop/product/crown-royal-apple-canadian-whisky/56caa97c7562752ed5791500?option-id=a0864ab13b2e4df17597234dfe59c81db2abb21a7dc0e2d643295e02d7586ec0&utm_source=googleshopping&utm_medium=feed"	"new"	"36.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/65cddd0f9ee8be2bdbc3f646/large.png?format=square"	"00082000771562"	"9202"	"499676"	"Crown Royal"	"spirits > whiskey"	"3.5 lbs"	"750ml"	"750ml"	"Crown Royal"	"n"	""	"whis-straight"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=a0864ab13b2e4df17597234dfe59c81db2abb21a7dc0e2d643295e02d7586ec0"
"600be91e88762f3032cd1e9c"	"Smoke Lab Classic Vodka 750ml"	"Introducing Smoke Lab Vodka, Indias New Age Vodka. Distilled 5X times using ultra modern charcoal filtration. This smooth yet fiery spirit is the perfect accompaniment to every party. Energetic dancefloors, cocktails under the stars, a spontaneous boat ride, table service at your favourite club or a night in with cards.The Smoke Vodka Classic is an ultra pure spirit, with a whole lot of intrigue. Enjoy it chilled as is or in your favourite vodka cocktail."	"https://ridgewineandspirits.com/shop/product/smoke-lab-classic-vodka/600be91e88762f3032cd1e9c?option-id=395349fb8c3df2538b74fdb662b2fd1df3eceb27de9d3cc278bba661063f47a7&utm_source=googleshopping&utm_medium=feed"	"new"	"11.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/65254161c62bcf2bd5e2e7e9/large.png?format=square"	"08902108004282"	"15418"	"499676"	"Smoke Lab"	"spirits > vodka"	"3.5 lbs"	"750ml"	"750ml"	"Smoke Lab"	"n"	""	"vodka-imported"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=395349fb8c3df2538b74fdb662b2fd1df3eceb27de9d3cc278bba661063f47a7"
"5cca3360b7cf47024be6446d"	"Monaco Purple Crush Cocktail 12oz"	"Monaco Purple Crush is a cocktail mashup of that summer lemonade stand, grape soda and two shots of cognac. Made to satisfy your tastebuds and leave you dancing all night long. Be sure to remember your dancing shoes."	"https://ridgewineandspirits.com/shop/product/monaco-purple-crush-cocktail/5cca3360b7cf47024be6446d?option-id=97ab5f1cd6a0fcfd60afac484c482b6e902fcf0412676564a2ac76fceb0255f8&utm_source=googleshopping&utm_medium=feed"	"new"	"3.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/626f845fe4285b4fb928825b/large.png?format=square"	"00891278002519"	"12265"	"499676"	"Monaco"	"spirits > rtd"	"3.5 lbs"	"354ml"	"750ml"	"Monaco"	"n"	""	"beer"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=97ab5f1cd6a0fcfd60afac484c482b6e902fcf0412676564a2ac76fceb0255f8"
"5739f6da69702d1966b12600"	"E & J Apple Flavored Brandy 750ml"	"E&J Apple Flavored Brandy delivers a unique twist on a time-honored classic, with bright apple flavors enhancing the traditional brandy base. Green apples and layers of brown aromatics and citrus combine to make a delicious flavored brandy. Enjoy this apple flavor brandy on its own or in simple cocktails. Serve guests a delicious mixed drink by adding E&J Flavored Apple Brandy to cranberry juice, ginger ale or hard apple cider. E&J Brandy is America's most award winning brandy, perfecting its craft since 1938 to bring the best brandy to market."	"https://ridgewineandspirits.com/shop/product/e-j-apple-flavored-brandy/5739f6da69702d1966b12600?option-id=9e2ca24b5fd8de6fd5d71503d1d00d68acf60fad18bc6c7c0cf8ba87209336c4&utm_source=googleshopping&utm_medium=feed"	"new"	"13.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/6840175b9ed20e0391901e03/large.png?format=square"	"00085000024041"	"9705"	"499676"	"E & J Brandy"	"spirits > brandy"	"3.5 lbs"	"750ml"	"750ml"	"E & J Brandy"	"n"	""	"brandy-american"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=9e2ca24b5fd8de6fd5d71503d1d00d68acf60fad18bc6c7c0cf8ba87209336c4"
"587d4138bfb24113b11b0648"	"Natural Light 24oz"	"Natural Light delivers a satisfyingly refreshing beer for a satisfying value. Natural Light Beer is a wonderfully blended and balanced American-style light lager. Natural Light's longer brewing process produces a lighter body, fewer calories, and an easy-drinking character - a satisfying refreshment for a satisfying value."	"https://ridgewineandspirits.com/shop/product/natural-light/587d4138bfb24113b11b0648?option-id=c62b47b399095885cc3cc917594434fdf2a8dd0e3e9463c960d022b3f135f21f&utm_source=googleshopping&utm_medium=feed"	"new"	"1.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/677a8b5307601b5f02784912/large.png?format=square"	"00018200250026"	"8169"	"499676"	"Natural Light"	"beer > lager"	"3.5 lbs"	"709ml"	"750ml"	"Natural Light"	"n"	""	"beer"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=c62b47b399095885cc3cc917594434fdf2a8dd0e3e9463c960d022b3f135f21f"
"56c337ba69702d27ed860c00"	"Jose Cuervo Especial Silver Tequila 50ml"	"Clean, clear and colorless. Holds aromas of agave, clean and fresh on the nose. The agave notes continue through the flavor, strong but not overpowering. Warm, smooth finish. Use in your favorite tequila cocktails."	"https://ridgewineandspirits.com/shop/product/jose-cuervo-especial-silver-tequila/56c337ba69702d27ed860c00?option-id=8fcea9e5df288fd9bc1f7bbe3780e0f152e44847862a1f451316b5feb6cf10e7&utm_source=googleshopping&utm_medium=feed"	"new"	"2.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/57bc424a69702d3b8e880500/large.png?format=square"	"00811538010955"	"6960"	"499676"	"Jose Cuervo"	"spirits > tequila"	"3.5 lbs"	"50ml"	"750ml"	"Jose Cuervo"	"n"	""	"tequila"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=8fcea9e5df288fd9bc1f7bbe3780e0f152e44847862a1f451316b5feb6cf10e7"
"56eb9d1169702d5654591d00"	"Barefoot Cellars Chardonnay White Wine 750ml"	"Barefoot Chardonnay White Wine features tempting notes of fresh green apple and sweet peach with hints of honey and vanilla in a 750 mL bottle. With a smooth and crisp finish, this medium bodied California wine is ideal for sharing with friends or family at an outdoor party on a warm summer day. This Chardonnay wine comes from Barefoot, the most awarded wine brand in US competitions. Let's get Barefoot."	"https://ridgewineandspirits.com/shop/product/barefoot-cellars-chardonnay-white-wine/56eb9d1169702d5654591d00?option-id=adacb1679d60539592cdedf46f740d2958d7baae14ecb62c3a9d6ac313d3b9c2&utm_source=googleshopping&utm_medium=feed"	"new"	"7.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/68401870d03f740c997dbb2a/large.png?format=square"	"00018341751055"	"4707"	"499676"	"Barefoot"	"wine > white"	"3.5 lbs"	"750ml"	"750ml"	"Barefoot"	"n"	"Chardonnay"	"wine-domestic"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=adacb1679d60539592cdedf46f740d2958d7baae14ecb62c3a9d6ac313d3b9c2"
"616725d82bca6a67db2a142c"	"Canadian Mist Whiskey 750ml"	"CANADIAN MIST  SINGLE  750 ML  BTL - GLASS"	"https://ridgewineandspirits.com/shop/product/canadian-mist-whiskey/616725d82bca6a67db2a142c?option-id=0036456112a313394ca223165fc7ba2b907d09a72347f10725425817912a2948&utm_source=googleshopping&utm_medium=feed"	"new"	"13.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/629a7225c939781232887d4d/large.png?format=square"	"00088004048242"	"5172"	"499676"	"Canadian Mist"	"spirits > whiskey"	"3.5 lbs"	"750ml"	"750ml"	"Canadian Mist"	"n"	""	"whis-canadian"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=0036456112a313394ca223165fc7ba2b907d09a72347f10725425817912a2948"
"587d44f1bfb24113b11b08fe"	"Daily's Peach On The Beach Frozen Pouch 10oz"	"DAILYS PEACH ON THE BEACH 10 OZ."	"https://ridgewineandspirits.com/shop/product/dailys-peach-on-the-beach-frozen-pouch/587d44f1bfb24113b11b08fe?option-id=cd05683310815dad7fb1608becff5b425532a2869b65f988a7bab2ed76e6ec82&utm_source=googleshopping&utm_medium=feed"	"new"	"2.99 USD"	""	"in_stock"	"https://cityhive-prod-cdn.cityhive.net/products/5c50a0cecf4c2606b8790607/large.png?format=square"	"00074806188309"	"15494"	"499676"	"Daily's Peach"	"wine > rtd"	"3.5 lbs"	"295ml"	"750ml"	"Daily's Peach"	"n"	""	"prep cocktails"	""	""	""	"https://ridgewineandspirits.com/cart?product-option-id=cd05683310815dad7fb1608becff5b425532a2869b65f988a7bab2ed76e6ec82"
