"CODE_NUM,N,5,0","BARCODE,N,12,0","BARCODE2,C,1","BRAND,C,32","DESCRIP,C,69","TYPE,N,2,0","SIZE,C,18","COST,N,9,4","LAST_COST,N,9,4","NEXT_COST,C,7","COST_2,C,6","COST_3,C,1","PRICE,N,10,4","MIN_PRICE,C,5","QTY_ON_HND,C,5","WAREHOUSE1,C,2","WAREHOUSE2,C,1","QTY_ON_RSV,C,1","QTY_ON_ORD,C,5","QTY_CASE,N,3,0","DIST,C,2","DIVI,C,1","SALESMAN,C,1","LAST_ORD,C,10","LAST_RCV,C,10","COST_DATE,C,10","SALES,C,10","P,C,3","P_PRICE,C,2","REORDER,C,2","LAST_EDIT,C,10","LAST_SALE,D","FIRST,N,10,0","SECON,N,10,0","THIRD,N,1,0","FOURT,N,1,0","FIFTH,N,1,0","SIXTH,N,1,0","SEVEN,N,1,0","EIGHT,N,2,0","NINTH,N,2,0","TENTH,N,1,0","ELEVE,N,2,0","TWELV,N,2,0","PRIORY,C,4","MTD,N,2,0","YTD,C,5","TWOFER,C,2","TWOFER_AMT,C,5","TAXABLE,C,1","START_PROM,C,1","END_PROM,C,1","BIN,C,5","DEPOSIT,C,1","DEP_AMT,C,1","THRFER,C,2","THRFER_AMT,C,5","CASE_PRICE,C,7","STD_QTY,N,1,0","PRINT_BAR,C,1","TAXRATE,C,1","TAXABLE2,C,1","TAXRATE2,C,1","SCRIPT_YN,C,1","FLAT_TAX,C,1","SHELF_CAP,C,1","QTY_SHELF,C,3","INTNUM,N,14,3","CLASS,C,7","VENDNUM,N,7,0","PAR_QTY,C,3","PRICE_B,C,5","PRICE_C,C,1","PRICE_D,C,1","PRICE_E,C,1","PRICE_F,C,1","PRICE_G,C,1","PRICE_H,C,1","PRICE_I,C,1","PRICE_J,C,1","DEP_B,C,1","DEP_C,C,1","CASE_B,C,1","CASE_C,C,1","CASE_D,C,1","CASE_E,C,1","CASE_F,C,1","CASE_G,C,1","CASE_H,C,1","CASE_I,C,1","CASE_J,C,1","USER1,C,1","USER2,C,1","DISC_OK,C,1","ORDER_LOT,C,1","DEP_ORD,C,1","DEP_ORDAMT,C,1","NOTES,C,1","NOTE2,C,1","DISCPOOL,C,1","BMP,C,1","HOCODE,C,1","POINTX,C,1","ITEMNOTE,C,1","USER1NAM,C,1","USER2NAM,C,1","VENDNAM,C,30","TYPENAM,C,30","TAXABLE3,C,22","TAXRATE3,C,9"
10,11034410031,,MARTINI ROSSI,VERMOUTH ROSSO,54,1.5L,9.99,9.99,,,,15.99,,,,,,,6,,,,,,,,,,,,01/16/2016,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,9000082,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,VERMOUTH-IMPORTED,,
12,11034410079,,MARTINI ROSSI,VERMOUTH ROSSO,54,.375L,5.25,5.25,,,,7.99,,,,,,,24,,,,,,,,,,,,01/14/2016,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,1046069,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,VERMOUTH-IMPORTED,,
13,11034420030,,MARTINI ROSSI,VERMOUTH EXTRA DRY,54,1.5L,9.9625,9.99,,,,13.99,,,,,,,6,,,,,,,,,,,,02/02/2016,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,9000080,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,VERMOUTH-IMPORTED,,
15,11034420078,,MARTINI ROSSI,VERMOUTH EXTRA DRY,54,.375L,5.25,5.25,,,,7.99,,,,,,,24,,,,,,,,,,,,12/05/2018,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,1046275,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,VERMOUTH-IMPORTED,,
16,11034430053,,MARTINI ROSSI,BIANCO,54,.750L,8.1,8.1,,,,10.99,,,,,,,12,,,,,,,,,,,,03/11/2013,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,1046648,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,VERMOUTH-IMPORTED,,
17,11034500053,,MARTINI & ROSSI,Asti Sparkling Wine,56,.750L,9.9648,9.6858,,,,13.99,,9,,,,,12,,,,,2025-01-03,,99,,,,2025-01-03,07/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,30,0,33,,,N,,,WR-1,N,,,,,1,N,,Y,,N,,,,243157,S,46,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,SOUTHER WINE & SPIRITS,SPARK WINE-IMPORTED,,
68,12300266550,,WINSTON BOX,FILTERS 100'S,29,,9.5,0,,,,10.5,,,,,,,10,,,,,,,,,,,,09/14/2013,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Y,,,,N,,,,,1,N,,N,,N,,,,0,S,26,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,THE GEORGE J. FALTER CO.,TOBACCO,,
79,1231233,,WINSTON,BOX,29,.050L,9.5,9.5,,,,11.49,,,,,,,10,,,,,,,,,,,2023-05-05,09/16/2017,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Y,,,,N,,,,,1,N,,N,,N,,,,0,S,26,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,THE GEORGE J. FALTER CO.,TOBACCO,,
80,1231330,,WINSTON,LIGHT 100  BOX,29,,10.36,10.36,,,,12.99,,9,,,,,10,,,,,2023-05-05,,1,,,,2024-07-04,07/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,Y,,,,N,,,,,1,N,,N,,N,,,,9224,S,107,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,TRIPLE C WHOLESALERS, INC,TOBACCO,
114,12894855215,,ROSEMOUNT ESTATE,SHIRAZ WR-17,68,.750L,5.165,7.31,,,,10.99,,,,,,,12,,,,,,,,,,,,09/10/2016,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,WR-17,N,,,,,1,N,,Y,,N,,,,9014096,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,WINE-IMPORTED,,
